Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,87.157700,88.400002,87.157700,88.482002,88.482002,0
2023-01-03,88.292000,88.313004,87.225998,88.300003,88.300003,0
2023-01-04,87.219002,87.922997,87.219002,87.219002,87.219002,0
2023-01-05,87.580002,87.807999,86.757004,87.605003,87.605003,0
2023-01-06,86.819000,87.614998,86.647003,86.827003,86.827003,0
2023-01-09,85.691902,88.285004,85.691902,87.500999,87.500999,0
2023-01-10,88.107002,88.247002,87.445999,88.124001,88.124001,0
2023-01-11,87.573997,87.935997,87.412003,87.582001,87.582001,0
2023-01-12,87.780998,88.143997,87.377998,87.805000,87.805000,0
2023-01-13,88.002998,88.304001,87.726997,88.011002,88.011002,0
2023-01-16,86.944801,88.344002,86.944801,87.952003,87.952003,0
2023-01-17,88.352997,88.615997,87.945999,88.352997,88.352997,0
2023-01-18,87.984001,88.273003,87.811996,88.003998,88.003998,0
2023-01-19,87.860001,88.063004,87.583000,87.863998,87.863998,0
2023-01-20,87.932999,88.029999,87.600998,87.936996,87.936996,0
2023-01-23,86.851303,88.801003,86.851303,87.862000,87.862000,0
2023-01-24,88.522003,88.762001,88.417999,88.541000,88.541000,0
2023-01-25,88.792999,89.080002,88.490997,88.767998,88.767998,0
2023-01-26,88.938004,88.992996,88.364998,88.955002,88.955002,0
2023-01-27,88.663002,88.760002,88.323997,88.641998,88.641998,0
2023-01-30,87.681198,88.865997,87.681198,88.518997,88.518997,0
2023-01-31,88.372002,88.754997,88.372002,88.375000,88.375000,0
2023-02-01,88.721001,89.233002,88.650002,88.736000,88.736000,0
2023-02-02,89.959999,90.361000,89.386002,89.946999,89.946999,0
2023-02-03,89.383003,89.626999,88.797997,89.390999,89.390999,0
2023-02-06,88.431999,89.099998,88.431999,88.690002,88.690002,0
2023-02-07,88.685997,88.790001,88.332001,88.704002,88.704002,0
2023-02-08,88.844002,88.873001,88.428001,88.831001,88.831001,0
2023-02-09,88.489998,88.931000,88.457001,88.498001,88.498001,0
2023-02-10,88.554001,88.580002,87.931000,88.563004,88.563004,0
2023-02-13,87.278198,88.541000,87.278198,88.026001,88.026001,0
2023-02-14,88.563004,89.299004,88.522003,88.546997,88.546997,0
2023-02-15,88.929001,88.996002,88.274002,88.929001,88.929001,0
2023-02-16,88.420998,88.550003,88.156998,88.403999,88.403999,0
2023-02-17,88.111000,88.304001,87.824997,88.132004,88.132004,0
2023-02-20,86.986603,88.415001,86.985603,88.432999,88.432999,0
2023-02-21,88.250999,88.459999,88.052002,88.257004,88.257004,0
2023-02-22,88.176003,88.276001,87.862000,88.184998,88.184998,0
2023-02-23,87.791000,87.886002,87.324997,87.775002,87.775002,0
2023-02-24,87.477997,87.654999,87.250999,87.486000,87.486000,0
2023-02-27,86.549202,87.665001,86.549202,87.370003,87.370003,0
2023-02-28,87.613998,87.823997,87.432999,87.606003,87.606003,0
2023-03-01,87.324997,88.055000,87.203003,87.341003,87.341003,0
2023-03-02,87.836998,88.000000,87.240997,87.853996,87.853996,0
2023-03-03,87.216003,87.352997,86.538002,87.216003,87.216003,0
2023-03-06,85.972099,87.392998,85.972099,86.816002,86.816002,0
2023-03-07,87.338997,87.435997,86.476997,87.348000,87.348000,0
2023-03-08,86.447998,86.615997,86.179001,86.440002,86.440002,0
2023-03-09,86.383003,86.775002,86.220001,86.383003,86.383003,0
2023-03-10,86.751999,87.535004,86.718002,86.735001,86.735001,0
2023-03-13,85.848602,88.161003,85.848602,87.125999,87.125999,0
2023-03-14,88.129997,88.486000,87.910004,88.138000,88.138000,0
2023-03-15,88.160004,88.539001,87.064003,88.168999,88.168999,0
2023-03-16,87.620003,87.832001,87.359001,87.665001,87.665001,0
